,index,Provider Id,Provider name,Hospital Ownership,Hospital overall rating,BEDS
71,369722,50295,MERCY HOSPITAL,Voluntary(non-profit),2,25.0
72,369723,50295,MERCY HOSPITAL,Voluntary(non-profit),2,271.0
73,369724,50295,MERCY HOSPITAL,Voluntary(non-profit),2,438.0
74,369725,50295,MERCY HOSPITAL,Voluntary(non-profit),2,234.0
75,394086,50308,EL CAMINO HOSPITAL,Government,4,300.0
76,400647,50309,SUTTER ROSEVILLE MEDICAL CENTER,Voluntary(non-profit),4,328.0
77,408043,50334,SALINAS VALLEY MEMORIAL HOSPITAL,Voluntary(non-profit),3,269.0
78,414284,50351,TORRANCE MEMORIAL MEDICAL CENTER,Voluntary(non-profit),5,649.0
79,422565,50360,MARIN GENERAL HOSPITAL,Government,4,235.0
80,428649,50380,GOOD SAMARITAN HOSPITAL,Individual Business,2,657.0
81,428650,50380,GOOD SAMARITAN HOSPITAL,Individual Business,2,491.0
82,428651,50380,GOOD SAMARITAN HOSPITAL,Individual Business,2,271.0
83,428652,50380,GOOD SAMARITAN HOSPITAL,Individual Business,2,191.0
84,454893,50390,HEMET VALLEY MEDICAL CENTER,Government,1,327.0
85,458862,50396,SANTA BARBARA COTTAGE HOSPITAL,Voluntary(non-profit),5,412.0
86,465103,50424,SCRIPPS GREEN HOSPITAL,Voluntary(non-profit),5,173.0
87,467407,50438,HUNTINGTON MEMORIAL HOSPITAL,Voluntary(non-profit),5,625.0
88,476816,50441,STANFORD HOSPITAL,Voluntary(non-profit),4,613.0
89,484385,50464,DOCTORS MEDICAL CENTER,Individual Business,1,394.0
90,489285,50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,Individual Business,2,321.0
91,497029,50551,LOS ALAMITOS MEDICAL CENTER,Individual Business,3,167.0
92,500629,50573,EISENHOWER MEDICAL CENTER,Individual Business,5,489.0
93,510430,50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,Voluntary(non-profit),3,611.0
94,517655,50603,SADDLEBACK MEMORIAL MEDICAL CENTER,Voluntary(non-profit),3,252.0
95,523584,50757,ALVARADO HOSPITAL MEDICAL CENTER,Individual Business,5,226.0
96,523585,50757,ALVARADO HOSPITAL MEDICAL CENTER,Individual Business,5,80.0
97,533666,50761,PROVIDENCE TARZANA MEDICAL CENTER,Voluntary(non-profit),3,249.0
98,541587,50764,SHASTA REGIONAL MEDICAL CENTER,Individual Business,4,246.0
99,547212,60001,NORTH COLORADO MEDICAL CENTER,Voluntary(non-profit),4,300.0
100,555493,60013,MERCY REGIONAL MEDICAL CENTER,Voluntary(non-profit),5,70.0
101,555494,60013,MERCY REGIONAL MEDICAL CENTER,Voluntary(non-profit),5,82.0
102,555495,60013,MERCY REGIONAL MEDICAL CENTER,Voluntary(non-profit),5,338.0
103,559381,60020,PARKVIEW MEDICAL CENTER INC,Voluntary(non-profit),3,370.0
104,565781,60023,ST MARYS HOSPITAL AND MEDICAL CENTER,Voluntary(non-profit),4,324.0
105,571406,60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,Voluntary(non-profit),3,327.0
106,579327,60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,Voluntary(non-profit),4,368.0
107,582691,60100,"MEDICAL CENTER OF AURORA, THE",Individual Business,5,303.0
108,588167,60119,MEDICAL CENTER OF THE ROCKIES,Voluntary(non-profit),5,146.0
109,592791,70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,Voluntary(non-profit),4,617.0
110,602200,70010,BRIDGEPORT HOSPITAL,Voluntary(non-profit),1,383.0
111,608761,70012,ROCKVILLE GENERAL HOSPITAL,Voluntary(non-profit),4,102.0
112,609850,70016,SAINT MARYS HOSPITAL,Voluntary(non-profit),4,168.0
113,617075,70017,MIDSTATE MEDICAL CENTER,Voluntary(non-profit),2,156.0
114,622551,70018,GREENWICH HOSPITAL ASSOCIATION,Voluntary(non-profit),4,206.0
115,628176,70020,MIDDLESEX HOSPITAL,Voluntary(non-profit),4,215.0
116,634576,70022,YALE-NEW HAVEN HOSPITAL,Voluntary(non-profit),2,1541.0
117,644576,70024,WILLIAM W BACKUS HOSPITAL,Voluntary(non-profit),4,213.0
118,650505,70025,HARTFORD HOSPITAL,Voluntary(non-profit),2,867.0
119,660109,70028,ST VINCENT'S MEDICAL CENTER,Voluntary(non-profit),2,473.0
120,669325,70033,DANBURY HOSPITAL,Voluntary(non-profit),2,371.0
121,678350,70034,NORWALK HOSPITAL ASSOCIATION,Voluntary(non-profit),3,328.0
122,685746,80007,BEEBE MEDICAL CENTER,Voluntary(non-profit),3,210.0
123,692971,100002,BETHESDA MEMORIAL HOSPITAL,Voluntary(non-profit),3,401.0
124,701435,100012,LEE MEMORIAL HOSPITAL,Government,2,835.0
125,711435,100017,HALIFAX HEALTH MEDICAL CENTER,Government,1,582.0
126,720271,100018,NAPLES COMMUNITY HOSPITAL,Voluntary(non-profit),5,391.0
127,730271,100019,HOLMES REGIONAL MEDICAL CENTER,Voluntary(non-profit),4,514.0
128,740271,100023,CITRUS MEMORIAL HOSPITAL,Government,1,198.0
129,747327,100025,SACRED HEART HOSPITAL,Voluntary(non-profit),4,119.0
130,747328,100025,SACRED HEART HOSPITAL,Voluntary(non-profit),4,466.0
131,747329,100025,SACRED HEART HOSPITAL,Voluntary(non-profit),4,215.0
132,774402,100028,PARRISH MEDICAL CENTER,Government,3,163.0
133,779586,100034,MOUNT SINAI MEDICAL CENTER,Individual Business,4,666.0
134,788235,100035,MANATEE MEMORIAL HOSPITAL,Individual Business,1,319.0
135,796516,100038,MEMORIAL REGIONAL HOSPITAL,Government,4,713.0
136,805925,100040,ST VINCENT'S MEDICAL CENTER,Voluntary(non-profit),2,473.0
137,815529,100044,MARTIN MEMORIAL MEDICAL CENTER,Voluntary(non-profit),2,244.0
138,824178,100046,FLORIDA HOSPITAL ZEPHYRHILLS,Voluntary(non-profit),2,139.0
139,830578,100049,HIGHLANDS REGIONAL MEDICAL CENTER,Individual Business,2,174.0
140,830579,100049,HIGHLANDS REGIONAL MEDICAL CENTER,Individual Business,2,126.0
141,837076,100052,WINTER HAVEN HOSPITAL,Voluntary(non-profit),2,519.0
142,846101,100057,FLORIDA HOSPITAL WATERMAN,Voluntary(non-profit),3,204.0
143,854565,100062,MUNROE REGIONAL MEDICAL CENTER,Government,2,420.0
144,864169,100068,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,Voluntary(non-profit),4,396.0
145,871738,100070,VENICE REGIONAL MEDICAL CENTER,Individual Business,2,220.0
146,880574,100072,FLORIDA HOSPITAL FISH MEMORIAL,Voluntary(non-profit),2,175.0
147,885335,100075,ST JOSEPH'S HOSPITAL,Voluntary(non-profit),4,780.0
148,885336,100075,ST JOSEPH'S HOSPITAL,Voluntary(non-profit),4,25.0
149,905335,100084,LEESBURG REGIONAL MEDICAL CENTER,Voluntary(non-profit),2,322.0
150,914360,100087,SARASOTA MEMORIAL HOSPITAL,Government,5,628.0
151,924161,100088,BAPTIST MEDICAL CENTER,Voluntary(non-profit),4,623.0
152,934161,100090,FLAGLER HOSPITAL,Voluntary(non-profit),2,336.0
153,942997,100093,BAPTIST HOSPITAL,Voluntary(non-profit),4,339.0
154,950053,100099,LAKE WALES MEDICAL CENTER,Individual Business,1,131.0
155,952757,100105,INDIAN RIVER MEDICAL CENTER,Government,2,245.0
156,961593,100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,Voluntary(non-profit),3,214.0
157,969874,100110,OSCEOLA REGIONAL MEDICAL CENTER,Individual Business,2,235.0
158,977618,100118,FLORIDA HOSPITAL FLAGLER,Voluntary(non-profit),2,99.0
159,982379,100127,MORTON PLANT HOSPITAL,Voluntary(non-profit),3,524.0
160,991404,100128,TAMPA GENERAL HOSPITAL,Voluntary(non-profit),1,1018.0
161,1000240,100131,AVENTURA HOSPITAL AND MEDICAL CENTER,Voluntary(non-profit),2,359.0
162,1009076,100151,MAYO CLINIC,Voluntary(non-profit),4,214.0
163,1014552,100157,LAKELAND REGIONAL MEDICAL CENTER,Voluntary(non-profit),1,828.0
164,1023961,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,Individual Business,2,226.0
165,1029002,100166,DOCTORS HOSPITAL OF SARASOTA,Individual Business,5,168.0
166,1033763,100168,BOCA RATON REGIONAL HOSPITAL,Voluntary(non-profit),2,394.0
167,1042412,100173,FLORIDA HOSPITAL TAMPA,Voluntary(non-profit),1,365.0
168,1051061,100176,PALM BEACH GARDENS MEDICAL CENTER,Individual Business,3,199.0
169,1058457,100179,MEMORIAL HOSPITAL JACKSONVILLE,Individual Business,1,425.0
170,1067293,100191,MEDICAL CENTER OF TRINITY,Individual Business,2,292.0
171,1074017,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,Individual Business,3,349.0
172,1083426,100212,OCALA REGIONAL MEDICAL CENTER,Individual Business,1,270.0
173,1092642,100213,BLAKE MEDICAL CENTER,Individual Business,1,294.0
174,1101478,100217,SEBASTIAN RIVER MEDICAL CENTER,Individual Business,2,115.0
175,1105574,100223,FORT WALTON BEACH MEDICAL CENTER,Individual Business,3,257.0
176,1112630,100226,ORANGE PARK MEDICAL CENTER,Voluntary(non-profit),2,230.0
177,1120730,100231,WEST FLORIDA HOSPITAL,Individual Business,3,339.0
178,1129379,100232,PUTNAM COMMUNITY MEDICAL CENTER,Individual Business,2,99.0
179,1133223,100236,FAWCETT MEMORIAL HOSPITAL,Individual Business,1,238.0
180,1142439,100238,NORTHSIDE HOSPITAL,Individual Business,2,571.0
181,1142440,100238,NORTHSIDE HOSPITAL,Individual Business,2,227.0
182,1154607,100242,GULF COAST MEDICAL CENTER,Individual Business,3,161.0
183,1154608,100242,GULF COAST MEDICAL CENTER,Individual Business,3,176.0
184,1164407,100243,BRANDON REGIONAL HOSPITAL,Individual Business,2,422.0
185,1173623,100244,CAPE CORAL HOSPITAL,Government,2,291.0
186,1181904,100248,LARGO MEDICAL CENTER,Individual Business,2,243.0
187,1190929,100253,JUPITER MEDICAL CENTER,Voluntary(non-profit),4,283.0
188,1197653,100256,REGIONAL MEDICAL CENTER BAYONET POINT,Individual Business,2,280.0
189,1206302,100258,DELRAY MEDICAL CENTER,Individual Business,1,493.0
190,1215138,100260,ST LUCIE MEDICAL CENTER,Individual Business,1,229.0
191,1223059,100264,OAK HILL HOSPITAL,Voluntary(non-profit),2,230.0
192,1231159,100265,MEASE COUNTRYSIDE HOSPITAL,Voluntary(non-profit),2,100.0
193,1239259,100290,"VILLAGES REGIONAL HOSPITAL, THE",Voluntary(non-profit),2,223.0
194,1248668,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,Government,2,691.0
195,1255724,110010,EMORY UNIVERSITY HOSPITAL,Voluntary(non-profit),4,579.0
196,1262613,110011,TANNER MEDICAL CENTER - CARROLLTON,Government,2,181.0
197,1266334,110028,UNIVERSITY HOSPITAL,Voluntary(non-profit),4,1034.0
198,1275938,110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",Government,3,557.0
199,1285347,110030,CARTERSVILLE MEDICAL CENTER,Voluntary(non-profit),2,80.0
200,1288596,110035,WELLSTAR KENNESTONE HOSPITAL,Voluntary(non-profit),3,580.0
201,1298596,110036,"MEMORIAL HEALTH UNIV MED CEN, INC",Voluntary(non-profit),1,530.0
202,1308005,110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,Voluntary(non-profit),4,264.0
203,1313781,110043,ST JOSEPH'S HOSPITAL - SAVANNAH,Voluntary(non-profit),2,294.0
204,1321006,110054,FLOYD MEDICAL CENTER,Government,4,284.0
205,1321007,110054,FLOYD MEDICAL CENTER,Government,4,54.0
206,1332256,110076,DEKALB MEDICAL CENTER,Voluntary(non-profit),1,451.0
207,1339652,110083,PIEDMONT HOSPITAL,Voluntary(non-profit),2,481.0
208,1347752,110107,MEDICAL CENTER OF CENTRAL GEORGIA,Government,3,637.0
209,1356968,110122,SOUTH GEORGIA MEDICAL CENTER,Government,3,380.0
210,1363529,110125,FAIRVIEW PARK HOSPITAL,Individual Business,4,190.0
211,1366778,110143,WELLSTAR COBB HOSPITAL,Voluntary(non-profit),3,372.0
212,1375614,110168,REDMOND REGIONAL MEDICAL CENTER,Individual Business,4,230.0
213,1383358,110177,DOCTORS HOSPITAL,Individual Business,3,354.0
214,1383359,110177,DOCTORS HOSPITAL,Individual Business,3,146.0
215,1383360,110177,DOCTORS HOSPITAL,Individual Business,3,251.0
216,1394158,110215,PIEDMONT FAYETTE HOSPITAL,Voluntary(non-profit),2,157.0
217,1400399,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,Individual Business,4,289.0
218,1405583,130028,PORTNEUF MEDICAL CENTER,Individual Business,4,174.0
219,1408608,130049,KOOTENAI MEDICAL CENTER,Government,4,246.0
220,1414384,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,Voluntary(non-profit),3,255.0
221,1418609,140010,EVANSTON HOSPITAL,Voluntary(non-profit),5,690.0
222,1428213,140013,PROCTOR HOSPITAL,Voluntary(non-profit),2,172.0
223,1431022,140015,BLESSING HOSPITAL,Voluntary(non-profit),3,335.0
224,1439122,140029,COPLEY MEMORIAL HOSPITAL,Voluntary(non-profit),5,210.0
225,1444306,140040,GALESBURG COTTAGE HOSPITAL,Individual Business,3,119.0
226,1446331,140043,CGH MEDICAL CENTER,Government,4,99.0
227,1449467,140046,GOOD SAMARITAN REGIONAL HLTH CENTER,Voluntary(non-profit),3,146.0
228,1454943,140053,ST JOHNS HOSPITAL,Voluntary(non-profit),3,434.0
229,1463043,140054,MACNEAL  HOSPITAL,Individual Business,2,371.0
230,1470787,140062,PALOS COMMUNITY HOSPITAL,Voluntary(non-profit),5,377.0
231,1480588,140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,Voluntary(non-profit),5,187.0
232,1486829,140067,SAINT FRANCIS MEDICAL CENTER,Voluntary(non-profit),2,289.0
233,1486830,140067,SAINT FRANCIS MEDICAL CENTER,Voluntary(non-profit),2,631.0
234,1486831,140067,SAINT FRANCIS MEDICAL CENTER,Voluntary(non-profit),2,238.0
235,1516232,140114,SWEDISH COVENANT HOSPITAL,Voluntary(non-profit),3,279.0
236,1523976,140116,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,Voluntary(non-profit),5,173.0
237,1531720,140117,RESURRECTION MEDICAL CENTER,Voluntary(non-profit),4,402.0
238,1540369,140119,RUSH UNIVERSITY MEDICAL CENTER,Voluntary(non-profit),5,669.0
239,1547938,140127,BROMENN HEALTHCARE,Voluntary(non-profit),4,200.0
240,1552427,140135,DECATUR MEMORIAL HOSPITAL,Voluntary(non-profit),5,188.0
241,1559996,140148,MEMORIAL MEDICAL CENTER,Voluntary(non-profit),2,473.0
242,1559997,140148,MEMORIAL MEDICAL CENTER,Voluntary(non-profit),2,199.0
243,1559998,140148,MEMORIAL MEDICAL CENTER,Voluntary(non-profit),2,25.0
244,1589399,140162,ST JOSEPH MEDICAL CENTER,Voluntary(non-profit),5,-999.0
245,1592535,140164,MEMORIAL HOSPITAL OF CARBONDALE,Voluntary(non-profit),2,159.0
246,1598311,140166,ST MARYS HOSPITAL,Voluntary(non-profit),3,113.0
247,1598312,140166,ST MARYS HOSPITAL,Voluntary(non-profit),3,-999.0
248,1598313,140166,ST MARYS HOSPITAL,Voluntary(non-profit),3,98.0
249,1598314,140166,ST MARYS HOSPITAL,Voluntary(non-profit),3,440.0
250,1613195,140172,FRANCISCAN ST JAMES HEALTH,Voluntary(non-profit),1,398.0
251,1622411,140176,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,Voluntary(non-profit),4,135.0
252,1626255,140184,HEARTLAND REGIONAL MEDICAL CENTER,Individual Business,2,92.0
253,1629064,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,112.0
254,1629065,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,25.0
255,1629066,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,67.0
256,1629068,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,-999.0
257,1629069,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,24.0
258,1629070,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,345.0
259,1629072,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,83.0
260,1629073,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,100.0
261,1629074,140185,MEMORIAL HOSPITAL,Voluntary(non-profit),3,14.0
262,1720155,140186,RIVERSIDE MEDICAL CENTER,Voluntary(non-profit),4,325.0
263,1720156,140186,RIVERSIDE MEDICAL CENTER,Voluntary(non-profit),4,25.0
264,1741830,140187,ST ELIZABETH HOSPITAL,Voluntary(non-profit),3,260.0
265,1747606,140189,SARAH BUSH LINCOLN HEALTH CENTER,Voluntary(non-profit),4,118.0
266,1750631,140191,INGALLS MEMORIAL HOSPITAL,Voluntary(non-profit),4,344.0
267,1758731,140200,ELMHURST MEMORIAL HOSPITAL,Individual Business,4,315.0
268,1767012,140202,ADVOCATE CONDELL MEDICAL CENTER,Voluntary(non-profit),5,279.0
269,1776228,140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,Voluntary(non-profit),3,684.0
270,1785832,140209,METHODIST MEDICAL CENTER OF ILLINOIS,Voluntary(non-profit),4,269.0
271,1794113,140211,DELNOR COMMUNITY HOSPITAL,Voluntary(non-profit),5,159.0
272,1800354,140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,Voluntary(non-profit),4,624.0
273,1809958,140228,SWEDISH AMERICAN HOSPITAL,Voluntary(non-profit),3,325.0
274,1818607,140231,EDWARD HOSPITAL,Voluntary(non-profit),4,349.0
275,1828408,140233,SAINT ANTHONY MEDICAL CENTER,Voluntary(non-profit),2,235.0
276,1834649,140239,ROCKFORD MEMORIAL HOSPITAL,Voluntary(non-profit),2,297.0
277,1841210,140252,NORTHWEST COMMUNITY HOSPITAL,Voluntary(non-profit),4,386.0
278,1850235,140258,ALEXIAN BROTHERS MEDICAL CENTER,Voluntary(non-profit),5,370.0
279,1859260,140280,TRINITY ROCK ISLAND,Voluntary(non-profit),3,343.0
280,1868864,140281,NORTHWESTERN MEMORIAL HOSPITAL,Voluntary(non-profit),4,885.0
281,1878665,140288,ADVOCATE GOOD SAMARITAN HOSPITAL,Voluntary(non-profit),4,326.0
282,1887501,140291,ADVOCATE GOOD SHEPHERD HOSPITAL,Voluntary(non-profit),4,169.0
283,1894897,150002,METHODIST HOSPITALS INC,Voluntary(non-profit),3,503.0
284,1903733,150009,CLARK MEMORIAL HOSPITAL,Voluntary(non-profit),3,158.0
285,1912014,150012,SAINT JOSEPH REGIONAL MEDICAL CENTER,Voluntary(non-profit),3,267.0
286,1920850,150015,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,Voluntary(non-profit),3,171.0
287,1925891,150017,LUTHERAN HOSPITAL OF INDIANA,Individual Business,2,396.0
288,1934540,150018,ELKHART GENERAL HOSPITAL,Government,3,270.0
289,1940316,150021,PARKVIEW REGIONAL MEDICAL CENTER,Voluntary(non-profit),3,636.0
290,1948780,150023,UNION HOSPITAL INC,Voluntary(non-profit),2,310.0
291,1958384,150026,IU HEALTH GOSHEN HOSPITAL,Voluntary(non-profit),3,122.0
292,1960785,150034,ST MARY MEDICAL CENTER INC,Voluntary(non-profit),3,195.0
293,1967674,150042,GOOD SAMARITAN HOSPITAL,Voluntary(non-profit),4,657.0
294,1967675,150042,GOOD SAMARITAN HOSPITAL,Voluntary(non-profit),4,491.0
295,1967676,150042,GOOD SAMARITAN HOSPITAL,Voluntary(non-profit),4,271.0
296,1967677,150042,GOOD SAMARITAN HOSPITAL,Voluntary(non-profit),4,191.0
297,1985098,150044,FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,Voluntary(non-profit),3,329.0
298,1993934,150046,TERRE HAUTE REGIONAL HOSPITAL,Individual Business,2,208.0
299,1997903,150048,REID HOSPITAL & HEALTH CARE SERVICES,Voluntary(non-profit),4,221.0
300,2005647,150051,INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,Voluntary(non-profit),5,293.0
301,2013043,150056,INDIANA UNIVERSITY HEALTH,Voluntary(non-profit),3,1246.0
302,2022647,150058,MEMORIAL HOSPITAL OF SOUTH BEND,Voluntary(non-profit),5,445.0
303,2030747,150059,RIVERVIEW HOSPITAL,Government,4,162.0
304,2033148,150082,DEACONESS HOSPITAL INC,Voluntary(non-profit),2,523.0
305,2042949,150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,Voluntary(non-profit),4,379.0
306,2052165,150090,FRANCISCAN ST MARGARET HEALTH - DYER,Voluntary(non-profit),3,-999.0
307,2056654,150100,ST MARY'S MEDICAL CENTER OF EVANSVILLE INC,Voluntary(non-profit),3,433.0
308,2065870,150109,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,Voluntary(non-profit),5,-999.0
309,2069119,150112,COLUMBUS REGIONAL HOSPITAL,Government,4,198.0
310,2074303,150115,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,Voluntary(non-profit),5,133.0
311,2077219,150125,COMMUNITY HOSPITAL,Voluntary(non-profit),4,49.0
312,2077220,150125,COMMUNITY HOSPITAL,Voluntary(non-profit),4,254.0
313,2077221,150125,COMMUNITY HOSPITAL,Voluntary(non-profit),4,-999.0
314,2077222,150125,COMMUNITY HOSPITAL,Voluntary(non-profit),4,447.0
315,2077223,150125,COMMUNITY HOSPITAL,Voluntary(non-profit),4,25.0
316,2077224,150125,COMMUNITY HOSPITAL,Voluntary(non-profit),4,69.0
317,2143082,150126,FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,Voluntary(non-profit),4,254.0
