,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Hospital Referral Region Description,Provider Zip Code, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments,Latitude,Longitude
18,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,AL - Birmingham,35660.0,60.4,12713.06,4711.088,3869.38,34.7464821,-87.69891109999999
19,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,AL - Dothan,36360.0,18.0,8923.703333333333,5430.543333333333,4696.86,31.451328,-85.632075
20,10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,GA - Rome,35960.0,29.0,15539.333999999999,5746.534,4908.5960000000005,34.1622301,-85.65136439999999
21,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,AL - Montgomery,36116.0,77.6,19572.794,5789.3060000000005,4669.5599999999995,32.3269463,-86.2710335
22,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,AL - Montgomery,36106.0,109.2,18770.846,4947.0779999999995,3927.2280000000005,32.36708309999999,-86.2853492
23,10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,AL - Birmingham,36854.0,36.6,8214.17,5012.5160000000005,4126.84,32.8246478,-85.16859339999999
24,10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,AL - Dothan,36323.0,21.666666666666668,6479.843333333333,5211.856666666667,4320.206666666666,31.4292605,-86.0763535
25,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,AL - Birmingham,36801.0,97.2,9057.001999999999,4871.990000000001,3929.3380000000006,32.6401629,-85.4037506
26,10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,AL - Birmingham,36278.0,21.0,13792.279999999999,4811.616666666667,3934.0933333333337,33.3073442,-85.4840006
27,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,AL - Birmingham,35233.0,141.6,20026.224,6607.834,5227.392,33.5056591,-86.8020205
28,10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,AL - Montgomery,36078.0,25.0,8425.912,5011.924000000001,4141.234,32.534053,-85.912363
29,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,AL - Birmingham,35058.0,67.4,15968.382000000001,4630.366,3680.432,34.2075866,-86.8748531
30,10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,FL - Pensacola,36420.0,58.6,14789.241999999998,4656.24,3772.4880000000003,31.2962978,-86.4947624
31,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,AL - Birmingham,36201.0,67.8,21540.974,4494.0160000000005,3498.6279999999997,33.6676877,-85.8250465
32,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,AL - Huntsville,35801.0,160.8,21624.002,5452.466,4138.628,34.721046,-86.58179899999999
33,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,AL - Birmingham,35903.0,74.4,49730.672000000006,4497.698,3557.7820000000006,34.0074022,-85.96757190000001
34,10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,AL - Birmingham,35045.0,13.333333333333334,8597.653333333334,5542.483333333334,4632.400000000001,32.8520141,-86.6230056
35,100316,PALM BAY HOSPITAL,"1425 MALABAR RD, NE",PALM BAY,FL,FL - Orlando,32907.0,15.5,20089.9625,4254.3724999999995,3401.08,27.9983893,-80.6127116
36,10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,MS - Tupelo,35570.0,26.5,13388.4125,4411.395,3554.82,34.1267995,-87.9914652
37,10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,AL - Tuscaloosa,35555.0,26.6,14573.918,4922.6720000000005,3993.8120000000004,33.7080266,-87.8242179
38,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,AL - Birmingham,35901.0,92.4,33888.312,4600.606,3602.042,34.004403,-86.003626
39,10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,AL - Montgomery,36033.0,22.2,5089.282,4838.304000000001,4012.958,31.6363932,-86.74313029999999
40,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,AL - Dothan,36330.0,53.4,25261.616,4448.4980000000005,3463.0019999999995,31.318647,-85.855114
41,10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,AL - Birmingham,35121.0,25.2,13916.083999999999,5229.376,4292.388,33.9300796,-86.4940189
42,10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,AL - Birmingham,36853.0,16.8,4815.7919999999995,5313.186,4538.166,32.8200627,-85.74157749999999
43,10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,AL - Huntsville,35601.0,48.2,26933.938000000002,5957.386,3643.6479999999997,34.5771378,-87.0158033
44,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,AL - Dothan,36305.0,97.6,26642.417999999998,4612.832,3561.584,31.23790679999999,-85.45675700000001
45,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,AL - Birmingham,35205.0,96.6,15143.918,4735.408,3346.168,33.5071812,-86.7889111
46,10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,AL - Birmingham,35650.0,25.8,12024.93,5138.647999999999,4185.112,34.4828876,-87.286024
47,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,AL - Huntsville,35768.0,73.6,9935.604000000001,4758.611999999999,3876.468,34.6617256,-86.0466422
48,10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,AL - Dothan,36340.0,30.6,7108.764,4860.564,4050.362,31.04877399999999,-85.89097699999999
49,10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,AL - Birmingham,35010.0,37.6,8909.681999999999,4791.364,3848.1839999999997,32.9306427,-85.97045200000001
50,10066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA,AL,FL - Pensacola,36442.0,12.25,7874.3375,4901.405,4220.3075,30.9998145,-86.31351049999999
51,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,AL - Dothan,36027.0,42.4,10423.692,4994.1,4124.4439999999995,31.8887641,-85.1563565
52,10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,AL - Birmingham,36251.0,23.8,9734.178,4607.5599999999995,3812.63,33.2774347,-85.82207919999999
53,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,AL - Birmingham,36207.0,80.4,17430.412000000004,4573.098,3631.1620000000003,33.6563953,-85.8228352
54,10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,AL - Huntsville,35611.0,44.4,11069.456,4982.546,4090.376,34.8042607,-86.97917699999999
55,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,AL - Mobile,36535.0,62.2,34814.35600000001,4498.328,3619.16,30.4260938,-87.6843079
56,10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,AL - Huntsville,35609.0,51.2,7720.3200000000015,4704.5160000000005,3691.036,34.5904135,-86.972417
57,10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,AL - Birmingham,35594.0,48.6,14862.108000000002,4333.687999999999,3488.022,33.9302561,-87.8244258
58,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,AL - Birmingham,35502.0,62.2,21634.786,4868.9800000000005,3902.5960000000005,33.841043,-87.2365408
59,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,AL - Mobile,36608.0,87.0,14465.654,4352.46,3428.132,30.6782817,-88.1985523
60,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,AL - Tuscaloosa,35401.0,219.6,18971.484,5184.610000000001,4175.237999999999,33.2047953,-87.5266956
61,10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,AL - Montgomery,36092.0,21.75,5576.13,5176.5175,4269.6525,32.5523787,-86.1866697
62,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,FL - Pensacola,36426.0,35.8,8167.036000000002,4494.82,3458.458,31.1257765,-87.07222399999999
63,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,AL - Mobile,36532.0,57.0,13966.018,4137.346,3169.886,30.5190265,-87.8883067
64,10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,AL - Birmingham,35161.0,29.6,16800.856,5470.95,4471.5380000000005,33.4397792,-86.0921347
65,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,AL - Birmingham,35211.0,76.2,27994.102000000003,5375.110000000001,4105.868,33.4984021,-86.84701659999999
66,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,AL - Birmingham,35213.0,65.2,34318.57,5051.034,3912.596,33.5163586,-86.7483395
67,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,AL - Montgomery,36067.0,34.2,18982.03,4318.64,3362.0939999999996,32.463778,-86.451938
68,10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,CARROLLTON,AL,AL - Tuscaloosa,35447.0,25.2,10267.457999999999,6961.798,6186.528,33.274677,-88.089069
69,10112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,AL - Birmingham,36732.0,45.8,8031.539999999999,4349.678,3430.8480000000004,32.5038111,-87.837458
70,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,AL - Mobile,36652.0,203.0,18570.255999999998,4922.674000000001,3581.4559999999997,30.6988625,-88.0794252
71,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,AL - Birmingham,35021.0,44.4,16705.344,4697.894,3746.308,33.3722775,-86.9906177
72,10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,AL - Birmingham,36701.0,74.0,17676.55,5723.012000000001,4888.984,32.4292722,-87.05602499999999
73,10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,AL - Mobile,36461.0,30.6,10078.310000000001,4570.192,3811.6920000000005,31.498257,-87.3206816
74,10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,AL,AL - Birmingham,35565.0,49.2,11683.91,4720.204,3752.7019999999998,0.0,0.0
75,10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,AL - Montgomery,36081.0,27.0,15170.485,5293.4625,4557.9925,31.7811497,-85.9449087
76,10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,AL - Mobile,36545.0,14.333333333333334,5450.59,4258.663333333333,3288.86,31.5311947,-87.89505299999999
77,10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,AL - Mobile,36507.0,19.5,11085.3275,5421.55,4440.4825,30.903945,-87.785172
78,10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,AL - Birmingham,35125.0,25.2,13903.155999999999,5388.5960000000005,4260.964,33.6043705,-86.30172530000002
79,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,AL - Huntsville,35801.0,81.6,27069.757999999994,4515.2660000000005,3449.0800000000004,34.6939279,-86.5719324
80,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,AL - Birmingham,35209.0,128.4,53546.75600000001,4531.625999999999,3537.41,33.46347280000001,-86.7766851
81,10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,AL - Mobile,36608.0,55.4,12819.706,4182.126,3195.1059999999998,30.6852336,-88.13171109999999
82,10145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,NORTHPORT,AL,AL - Tuscaloosa,35476.0,16.5,16985.9925,5255.42,4204.1825,33.2339492,-87.57094479999999
83,10146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,AL - Birmingham,36265.0,21.333333333333332,19314.88666666667,4469.1866666666665,3563.8266666666664,33.78454500000001,-85.76297249999999
84,10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,AL - Montgomery,36401.0,47.0,7053.478,4585.6759999999995,3748.8299999999995,31.43097809999999,-86.9408213
85,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,AL - Montgomery,36117.0,60.4,18561.838,5194.62,4195.558,32.3762284,-86.1748296
86,10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,AL - Montgomery,36037.0,23.0,28770.359999999997,5203.8099999999995,4329.598,31.8290939,-86.64627
87,10152,INFIRMARY WEST,5600 GIRBY RD,MOBILE,AL,AL - Mobile,36693.0,15.6,18493.735999999997,4847.636,3886.326,30.6191673,-88.17281109999999
88,10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,AL - Birmingham,35661.0,26.4,20297.185999999998,4382.0160000000005,3547.314,34.744969,-87.675383
89,10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,AL - Birmingham,35653.0,63.8,14509.774000000001,4631.64,3893.6220000000003,34.5107726,-87.7183471
90,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,AL - Birmingham,35150.0,62.8,20513.2,4919.932,4131.942,33.1644466,-86.2552042
91,10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,FL - Pensacola,36502.0,26.8,18185.802,4471.124,3624.264,31.0166253,-87.47634889999999
92,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,AK - Anchorage,99519.0,61.0,27918.128000000004,7660.996000000001,6271.454,60.94903409999999,-149.1711438
93,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,AK - Anchorage,99645.0,42.0,26040.634,8754.514,7660.336,61.56316029999999,-149.2576383
94,20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,AK - Anchorage,99801.0,16.666666666666668,20283.146666666664,10330.513333333332,9396.57,58.32901640000001,-134.4649167
95,20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,AK - Anchorage,99701.0,17.75,23356.335,12899.065,11385.8325,64.8311569,-147.7399471
96,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,AK - Anchorage,99508.0,14.5,32778.4,8434.09,5334.549999999999,61.2106931,-149.8287333
97,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,AK - Anchorage,99559.0,30.5,6545.725,10493.355,9718.48,60.7922222,-161.7558334
98,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,AK - Anchorage,99669.0,24.25,20449.2825,8776.072499999998,7709.04,60.4933699,-151.0782521
99,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,AK - Anchorage,99508.0,34.8,14928.938,10655.35,9848.117999999999,61.1829647,-149.7999673
100,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,AZ - Phoenix,85006.0,81.2,24362.396,6675.110000000001,5296.6900000000005,33.4649409,-112.0579588
101,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,AZ - Tucson,85712.0,96.4,19235.199999999997,5823.164,4983.284,32.2527133,-110.8781248
102,30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,AZ - Phoenix,86326.0,33.6,39698.202,7626.206,6656.9,34.7357288,-112.029221
103,30010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,AZ - Tucson,85745.0,48.2,20644.242,5333.404,4414.237999999999,32.2280654,-111.0003538
104,30011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,AZ - Tucson,85711.0,74.8,23282.538,5027.7660000000005,4040.268,32.2264891,-110.8550125
105,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,AZ - Phoenix,86301.0,59.8,18552.808,6029.045999999999,5062.608,34.5593433,-112.4811126
106,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,AZ - Phoenix,85364.0,126.2,20694.68,5836.39,4948.154,32.6823988,-114.634916
107,30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,AZ - Phoenix,85020.0,51.4,23297.652000000002,5577.454,4530.248,33.5689294,-112.0710274
108,30016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,AZ - Phoenix,85222.0,59.2,19776.074,5861.4,4925.622,32.8807401,-111.7097455
109,30022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,AZ - Phoenix,85008.0,11.5,21725.725,10263.105,9199.755000000001,33.4573098,-112.0261191
110,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,AZ - Phoenix,86001.0,43.6,30746.272000000004,8900.642,7751.07,35.2090049,-111.6439073
111,30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,AZ - Phoenix,85013.0,47.2,25237.404000000002,7697.535999999998,6327.476000000001,33.481882,-112.0793096
112,30030,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,AZ - Phoenix,85015.0,28.4,19729.506,6284.65,5296.969999999999,33.525601,-112.1020655
113,30036,CHANDLER REGIONAL MEDICAL CENTER,475 SOUTH DOBSON ROAD,CHANDLER,AZ,AZ - Mesa,85224.0,73.8,33435.956,5722.148,4547.74,33.2972521,-111.8746513
114,30037,ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,AZ - Phoenix,85006.0,16.333333333333332,30811.423333333336,6565.433333333333,4887.54,33.45154,-112.04313
115,30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,AZ - Phoenix,85251.0,73.8,24968.489999999998,5666.0419999999995,4603.2519999999995,33.4886967,-111.9229987
116,30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,SIERRA VISTA,AZ,AZ - Tucson,85635.0,48.6,18390.872,6668.9580000000005,5873.686,31.5511582,-110.2724609
117,30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,AZ - Phoenix,86409.0,69.2,18916.66,6113.228,5190.298000000001,35.2201547,-114.0370933
118,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,AZ - Sun City,85351.0,177.0,26520.152000000002,4935.361999999999,4023.1380000000004,33.6036767,-112.2842231
119,30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 SHOW LOW LAKE ROAD,SHOW LOW,AZ,AZ - Phoenix,85901.0,19.4,19324.854,7117.102000000001,6125.129999999999,34.2028137,-110.0179812
120,30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,AZ - Tucson,85724.0,87.0,22183.226000000002,8930.67,7998.0380000000005,32.2410854,-110.946286
121,30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,AZ - Mesa,85202.0,93.4,21765.456,5762.3,4704.503999999999,33.3899544,-111.8770411
122,30067,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,PARKER,AZ,AZ - Phoenix,85344.0,20.4,15176.485999999999,7880.214,6994.798,34.1356365,-114.2847937
123,30068,MT GRAHAM REGIONAL MEDICAL CENTER,1600  SOUTH 20TH AVENUE,SAFFORD,AZ,AZ - Tucson,85546.0,20.25,18624.305,8715.97,7867.1050000000005,32.822625,-109.734994
124,30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CIT,AZ,AZ - Phoenix,86403.0,54.4,25497.4,5563.058,4574.13,34.4803821,-114.3388668
125,30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,NM - Albuquerque,86504.0,28.25,7658.429999999999,7194.775,6456.2699999999995,35.759317,-109.0483992
126,30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,AZ - Phoenix,86045.0,21.2,12375.000000000002,7376.58,6619.646000000001,36.1358476,-111.2370052
127,30078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,PHOENIX,AZ,AZ - Phoenix,85016.0,15.5,9896.535,10721.8,9776.23,33.49695,-112.049421
128,30083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,PHOENIX,AZ,AZ - Phoenix,85032.0,28.0,20960.947999999997,5808.054,4686.096,33.6392902,-111.9975215
129,30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,NM - Albuquerque,86503.0,21.0,6280.7775,6378.0,5573.3875,36.1575812,-109.6076963
130,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,AZ - Tucson,85741.0,91.8,23554.754000000004,5018.604,4053.4839999999995,32.3202768,-111.0100752
131,30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,AZ - Phoenix,85260.0,99.2,23980.219999999998,4990.718000000001,3965.4920000000006,33.5801319,-111.8847121
132,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,AZ - Mesa,85206.0,154.6,22769.046000000002,5066.51,4163.7480000000005,33.4113095,-111.6875079
133,30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,AZ - Phoenix,85306.0,106.6,24127.408000000003,5859.164,4763.5160000000005,33.6091941,-112.1795844
